iter	RMSE
246	0.1853593037
247	0.1844558859
248	0.1837384277
249	0.1831320295
250	0.1822926322
251	0.1816090523
252	0.1811319517
253	0.1805545615
254	0.1802681086
255	0.179812712
256	0.1791322072
257	0.1784285813
258	0.1779502284
259	0.1778247285
260	0.1769775048
261	0.1761619307
262	0.1755304857
263	0.1747587962
264	0.1745008327
265	0.1744475511
266	0.1737253037
267	0.1731748983
268	0.1727206528
269	0.1724473758
270	0.1723497537
271	0.1716224197
272	0.170925021
273	0.1706959529
274	0.170138361
275	0.1695071531
276	0.1689558928
277	0.1686543293
278	0.1679332939
279	0.1675640615
280	0.1670623331
281	0.1663338626
282	0.1658980119
283	0.1654257722
284	0.1647594177
285	0.1642087481
286	0.1639377037
287	0.1635104763
288	0.1627414617
289	0.1620379008
290	0.1616216992
291	0.161282398
292	0.161235921
293	0.1609222401
294	0.1603327266
295	0.160055805
296	0.1598984926
297	0.1594112283
298	0.1590218271
299	0.1583779557
300	0.1579626509
301	0.1575633603
302	0.1572082057
303	0.1571705741
304	0.1568249057
305	0.1563132829
306	0.155879969
307	0.1552620022
308	0.154687708
309	0.1543955154
310	0.1537611146
311	0.1534902778
312	0.1529809946
313	0.1524240614
314	0.1520137056
315	0.1517790963
316	0.1513346845
317	0.151079203
318	0.1508463256
319	0.1504146325
320	0.1501373495
321	0.1501085717
322	0.1495808825
323	0.1490012745
324	0.1483470725
325	0.1479226638
326	0.1476416263
327	0.1474297699
328	0.1470453339
329	0.1464581986
330	0.1459768561
331	0.1456454183
332	0.1452836633
333	0.1449078381
334	0.1446647761
335	0.1442253152
336	0.1441829597
337	0.1437221229
338	0.1434577465
339	0.1429318959
340	0.1428726648
341	0.1424884555
342	0.14221438
343	0.1417734488
344	0.1411632635
345	0.1406029829
346	0.1400450189
347	0.1397887753
348	0.1397592347
349	0.1394208442
350	0.1388647903
351	0.1388112017
352	0.1384057265
353	0.138233639
354	0.1377373352
355	0.137373701
356	0.1370567118
357	0.1366749642
358	0.1361578959
359	0.1358002085
360	0.1353212497
361	0.1349935401
362	0.1344695583
363	0.1340934532
364	0.1337309295
365	0.1333452706
366	0.1329850068
367	0.1325040791
368	0.1320512036
369	0.131535985
370	0.1315131492
371	0.1309986407
372	0.1309760745
373	0.130639344
374	0.1302695098
375	0.1298588624
376	0.1296298573
377	0.1292566315
378	0.1289820317
379	0.1287872245
380	0.1284414865
381	0.1281317001
382	0.1281106156
383	0.1279827085
384	0.1277741506
385	0.127461786
386	0.1273017371
387	0.126864702
388	0.1265664831
389	0.126331203
390	0.1260209998
391	0.1257922395
392	0.1254660117
393	0.1251161993
394	0.1249135757
395	0.1245079212
396	0.1240498229
397	0.1237388354
398	0.1235096692
399	0.12310555
400	0.122994035
401	0.1227585043
402	0.1226317683
403	0.1224461209
404	0.1220945311
405	0.1219088014
406	0.1215772083
407	0.1209730136
408	0.120617642
409	0.1203449362
410	0.1199600039
411	0.1196432245
412	0.1193527204
413	0.1191810695
414	0.1189282003
415	0.1186688174
416	0.118503859
417	0.1180808592
418	0.1180564259
419	0.1178832094
420	0.117667358
421	0.1174107814
422	0.11718216
423	0.1168868809
424	0.1168563438
425	0.1166618042
426	0.1164136663
427	0.116369086
428	0.1161666038
429	0.1161429751
430	0.1159096536
431	0.1157617002
432	0.1155382944
433	0.1152714061
434	0.1147571608
435	0.1143736051
436	0.1141486386
437	0.1140341454
438	0.1138264547
439	0.1135870188
440	0.1132692131
441	0.1129659099
442	0.1127972322
443	0.1125407416
444	0.1122266
445	0.1121010824
446	0.1118044423
447	0.1117825261
448	0.1116605869
449	0.1116353493
450	0.1113927366
451	0.1112338335
452	0.1109875044
453	0.1108196863
454	0.1105166309
455	0.1102948951
456	0.1100263947
457	0.1099938381
458	0.1097612507
459	0.1095915909
460	0.109078529
461	0.1088131966
462	0.1086338458
463	0.1086109916
464	0.1084006335
465	0.1082063374
466	0.1080004264
467	0.1078315773
468	0.1077116127
469	0.1074835484
470	0.1074577529
471	0.1073155621
472	0.1070460784
473	0.106920473
474	0.1065869412
475	0.1062303334
476	0.1060525677
477	0.1058503985
478	0.1056375433
479	0.1055074241
480	0.1052998644
481	0.1051091585
482	0.1049210824
483	0.1046759231
484	0.1045967262
485	0.1041750192
486	0.1038522399
487	0.1035302997
488	0.1033585585
489	0.103304699
490	0.1031913456
491	0.1031730165
492	0.1030668157
493	0.1030027436
494	0.1028950788
495	0.1026364186
496	0.102397218
497	0.1022713625
498	0.1020086791
499	0.1019890491
